Date,Berth,DailyCapacity,CumulativeCapacity,CumulativeDemand,Balance
2025-02-21,Q1C,23000,1196000,293697,902303
2025-02-21,Q2A,47000,2444000,769327,1674673
2025-02-21,Q2B,47000,2444000,498230,1945770
2025-02-22,Q1A,35000,1855000,622841,1232159
2025-02-22,Q1B,35000,1855000,430644,1424356
2025-02-22,Q1C,23000,1219000,301866,917134
2025-02-22,Q2A,47000,2491000,769327,1721673
2025-02-22,Q2B,47000,2491000,562012,1928988
2025-02-23,Q1A,35000,1890000,670344,1219656
2025-02-23,Q1B,35000,1890000,433083,1456917
2025-02-23,Q1C,23000,1242000,311821,930179
2025-02-23,Q2A,47000,2538000,802463,1735537
2025-02-23,Q2B,47000,2538000,562012,1975988
2025-02-24,Q1A,35000,1925000,670344,1254656
2025-02-24,Q1B,35000,1925000,433083,1491917
2025-02-24,Q1C,23000,1265000,311821,953179
2025-02-24,Q2A,47000,2585000,802463,1782537
2025-02-24,Q2B,47000,2585000,562012,2022988
2025-02-25,Q1A,35000,1960000,670344,1289656
2025-02-25,Q1B,35000,1960000,433083,1526917
2025-02-25,Q1C,23000,1288000,311821,976179
2025-02-25,Q2A,47000,2632000,802463,1829537
2025-02-25,Q2B,47000,2632000,562012,2069988
2025-02-26,Q1A,35000,1995000,670344,1324656
2025-02-26,Q1B,35000,1995000,433083,1561917
2025-02-26,Q1C,23000,1311000,311821,999179
2025-02-26,Q2A,47000,2679000,802463,1876537
2025-02-26,Q2B,47000,2679000,562012,2116988
2025-02-27,Q1A,35000,2030000,670344,1359656
2025-02-27,Q1B,35000,2030000,433083,1596917
2025-02-27,Q1C,23000,1334000,311821,1022179
2025-02-27,Q2A,47000,2726000,802463,1923537
2025-02-27,Q2B,47000,2726000,562012,2163988
2025-02-28,Q1A,35000,2065000,721911,1343089
2025-02-28,Q1B,35000,2065000,433083,1631917
2025-02-28,Q1C,23000,1357000,320767,1036233
2025-02-28,Q2A,47000,2773000,877541,1895459
2025-02-28,Q2B,47000,2773000,627445,2145555
2025-03-01,Q1A,35000,2100000,764194,1335806
2025-03-01,Q1B,35000,2100000,433083,1666917
2025-03-01,Q1C,23000,1380000,320767,1059233
2025-03-01,Q2A,47000,2820000,877541,1942459
2025-03-01,Q2B,47000,2820000,627445,2192555
2025-03-02,Q1A,35000,2135000,764194,1370806
2025-03-02,Q1B,35000,2135000,488520,1646480
2025-03-02,Q1C,23000,1403000,351573,1051427
2025-03-02,Q2A,47000,2867000,910157,1956843
2025-03-02,Q2B,47000,2867000,637637,2229363
2025-03-03,Q1A,35000,2170000,764194,1405806
2025-03-03,Q1B,35000,2170000,488520,1681480
2025-03-03,Q1C,23000,1426000,351573,1074427
2025-03-03,Q2A,47000,2914000,910157,2003843
2025-03-03,Q2B,47000,2914000,637637,2276363
2025-03-04,Q1A,35000,2205000,764194,1440806
2025-03-04,Q1B,35000,2205000,488520,1716480
2025-03-04,Q1C,23000,1449000,351573,1097427
2025-03-04,Q2A,47000,2961000,910157,2050843
2025-03-04,Q2B,47000,2961000,637637,2323363
2025-03-05,Q1A,35000,2240000,764194,1475806
2025-03-05,Q1B,35000,2240000,488520,1751480
2025-03-05,Q1C,23000,1472000,351573,1120427
2025-03-05,Q2A,47000,3008000,910157,2097843
2025-03-05,Q2B,47000,3008000,637637,2370363
2025-03-06,Q1A,35000,2275000,764194,1510806
2025-03-06,Q1B,35000,2275000,488520,1786480
2025-03-06,Q1C,23000,1495000,351573,1143427
2025-03-06,Q2A,47000,3055000,910157,2144843
2025-03-06,Q2B,47000,3055000,637637,2417363
2025-03-07,Q1A,35000,2310000,764194,1545806
2025-03-07,Q1B,35000,2310000,488520,1821480
2025-03-07,Q1C,23000,1518000,351573,1166427
2025-03-07,Q2A,47000,3102000,910157,2191843
2025-03-07,Q2B,47000,3102000,637637,2464363
2025-03-08,Q1A,35000,2345000,809112,1535888
2025-03-08,Q1B,35000,2345000,548119,1796881
2025-03-08,Q1C,23000,1541000,351573,1189427
2025-03-08,Q2A,47000,3149000,1024251,2124749
2025-03-08,Q2B,47000,3149000,645071,2503929
2025-03-09,Q1A,35000,2380000,847593,1532407
2025-03-09,Q1B,35000,2380000,548119,1831881
2025-03-09,Q1C,23000,1564000,392652,1171348
2025-03-09,Q2A,47000,3196000,1024251,2171749
2025-03-09,Q2B,47000,3196000,708436,2487564
2025-03-10,Q1A,35000,2415000,847593,1567407
2025-03-10,Q1B,35000,2415000,548119,1866881
2025-03-10,Q1C,23000,1587000,392652,1194348
2025-03-10,Q2A,47000,3243000,1024251,2218749
2025-03-10,Q2B,47000,3243000,708436,2534564
2025-03-11,Q1A,35000,2450000,847593,1602407
2025-03-11,Q1B,35000,2450000,548119,1901881
2025-03-11,Q1C,23000,1610000,392652,1217348
2025-03-11,Q2A,47000,3290000,1024251,2265749
2025-03-11,Q2B,47000,3290000,708436,2581564
2025-03-12,Q1A,35000,2485000,847593,1637407
2025-03-12,Q1B,35000,2485000,548119,1936881
2025-03-12,Q1C,23000,1633000,392652,1240348
2025-03-12,Q2A,47000,3337000,1024251,2312749
2025-03-12,Q2B,47000,3337000,708436,2628564
2025-03-13,Q1A,35000,2520000,873447,1646553
2025-03-13,Q1B,35000,2520000,548119,1971881
2025-03-13,Q1C,23000,1656000,392652,1263348
2025-03-13,Q2A,47000,3384000,1024251,2359749
2025-03-13,Q2B,47000,3384000,708436,2675564
2025-03-14,Q1A,35000,2555000,873447,1681553
2025-03-14,Q1B,35000,2555000,548119,2006881
2025-03-14,Q1C,23000,1679000,425392,1253608
2025-03-14,Q2A,47000,3431000,1024251,2406749
2025-03-14,Q2B,47000,3431000,769300,2661700
2025-03-15,Q1A,35000,2590000,900788,1689212
2025-03-15,Q1B,35000,2590000,573646,2016354
2025-03-15,Q1C,23000,1702000,435926,1266074
2025-03-15,Q2A,47000,3478000,1115051,2362949
2025-03-15,Q2B,47000,3478000,769300,2708700
2025-03-16,Q1A,35000,2625000,943940,1681060
2025-03-16,Q1B,35000,2625000,602145,2022855
2025-03-16,Q1C,23000,1725000,435926,1289074
2025-03-16,Q2A,47000,3525000,1127864,2397136
2025-03-16,Q2B,47000,3525000,779888,2745112
2025-03-17,Q1A,35000,2660000,943940,1716060
2025-03-17,Q1B,35000,2660000,602145,2057855
2025-03-17,Q1C,23000,1748000,435926,1312074
2025-03-17,Q2A,47000,3572000,1127864,2444136
2025-03-17,Q2B,47000,3572000,779888,2792112
2025-03-18,Q1A,35000,2695000,943940,1751060
2025-03-18,Q1B,35000,2695000,602145,2092855
2025-03-18,Q1C,23000,1771000,435926,1335074
2025-03-18,Q2A,47000,3619000,1127864,2491136
2025-03-18,Q2B,47000,3619000,779888,2839112
2025-03-19,Q1A,35000,2730000,943940,1786060
2025-03-19,Q1B,35000,2730000,602145,2127855
2025-03-19,Q1C,23000,1794000,435926,1358074
2025-03-19,Q2A,47000,3666000,1127864,2538136
2025-03-19,Q2B,47000,3666000,779888,2886112
2025-03-20,Q1A,35000,2765000,967664,1797336
2025-03-20,Q1B,35000,2765000,602145,2162855
2025-03-20,Q1C,23000,1817000,435926,1381074
2025-03-20,Q2A,47000,3713000,1127864,2585136
2025-03-20,Q2B,47000,3713000,790278,2922722
2025-03-21,Q1A,35000,2800000,967664,1832336
2025-03-21,Q1B,35000,2800000,602145,2197855
2025-03-21,Q1C,23000,1840000,435926,1404074
2025-03-21,Q2A,47000,3760000,1160030,2599970
2025-03-21,Q2B,47000,3760000,790278,2969722
2025-03-22,Q1A,35000,2835000,967664,1867336
2025-03-22,Q1B,35000,2835000,602145,2232855
2025-03-22,Q1C,23000,1863000,454494,1408506
2025-03-22,Q2A,47000,3807000,1160030,2646970
2025-03-22,Q2B,47000,3807000,790278,3016722
2025-03-23,Q1A,35000,2870000,1036375,1833625
2025-03-23,Q1B,35000,2870000,659472,2210528
2025-03-23,Q1C,23000,1886000,482867,1403133
2025-03-23,Q2A,47000,3854000,1236252,2617748
2025-03-23,Q2B,47000,3854000,855289,2998711
2025-03-24,Q1A,35000,2905000,1036375,1868625
2025-03-24,Q1B,35000,2905000,659472,2245528
2025-03-24,Q1C,23000,1909000,482867,1426133
2025-03-24,Q2A,47000,3901000,1236252,2664748
2025-03-24,Q2B,47000,3901000,855289,3045711
2025-03-25,Q1A,35000,2940000,1036375,1903625
2025-03-25,Q1B,35000,2940000,659472,2280528
2025-03-25,Q1C,23000,1932000,482867,1449133
2025-03-25,Q2A,47000,3948000,1236252,2711748
2025-03-25,Q2B,47000,3948000,855289,3092711
2025-03-26,Q1A,35000,2975000,1036375,1938625
2025-03-26,Q1B,35000,2975000,659472,2315528
2025-03-26,Q1C,23000,1955000,482867,1472133
2025-03-26,Q2A,47000,3995000,1236252,2758748
2025-03-26,Q2B,47000,3995000,855289,3139711
2025-03-27,Q1A,35000,3010000,1036375,1973625
2025-03-27,Q1B,35000,3010000,659472,2350528
2025-03-27,Q1C,23000,1978000,482867,1495133
2025-03-27,Q2A,47000,4042000,1236252,2805748
2025-03-27,Q2B,47000,4042000,855289,3186711
2025-03-28,Q1A,35000,3045000,1058420,1986580
2025-03-28,Q1B,35000,3045000,659472,2385528
2025-03-28,Q1C,23000,2001000,482867,1518133
2025-03-28,Q2A,47000,4089000,1272106,2816894
2025-03-28,Q2B,47000,4089000,862665,3226335
2025-03-29,Q1A,35000,3080000,1058420,2021580
2025-03-29,Q1B,35000,3080000,684754,2395246
2025-03-29,Q1C,23000,2024000,482867,1541133
2025-03-29,Q2A,47000,4136000,1272106,2863894
2025-03-29,Q2B,47000,4136000,862665,3273335
2025-03-30,Q1A,35000,3115000,1132693,1982307
2025-03-30,Q1B,35000,3115000,720777,2394223
2025-03-30,Q1C,23000,2047000,525256,1521744
2025-03-30,Q2A,47000,4183000,1347808,2835192
2025-03-30,Q2B,47000,4183000,930584,3252416
2025-03-31,Q1A,35000,3150000,1132693,2017307
2025-03-31,Q1B,35000,3150000,720777,2429223
2025-03-31,Q1C,23000,2070000,525256,1544744
2025-03-31,Q2A,47000,4230000,1347808,2882192
2025-03-31,Q2B,47000,4230000,930584,3299416
2025-04-01,Q1A,35000,3185000,1132693,2052307
2025-04-01,Q1B,35000,3185000,720777,2464223
2025-04-01,Q1C,23000,2093000,525256,1567744
2025-04-01,Q2A,47000,4277000,1347808,2929192
2025-04-01,Q2B,47000,4277000,930584,3346416
2025-04-02,Q1A,35000,3220000,1132693,2087307
2025-04-02,Q1B,35000,3220000,720777,2499223
2025-04-02,Q1C,23000,2116000,525256,1590744
2025-04-02,Q2A,47000,4324000,1347808,2976192
2025-04-02,Q2B,47000,4324000,930584,3393416
2025-04-03,Q1A,35000,3255000,1132693,2122307
2025-04-03,Q1B,35000,3255000,720777,2534223
2025-04-03,Q1C,23000,2139000,525256,1613744
2025-04-03,Q2A,47000,4371000,1347808,3023192
2025-04-03,Q2B,47000,4371000,930584,3440416
2025-04-04,Q1A,35000,3290000,1132693,2157307
2025-04-04,Q1B,35000,3290000,720777,2569223
2025-04-04,Q1C,23000,2162000,525256,1636744
2025-04-04,Q2A,47000,4418000,1347808,3070192
2025-04-04,Q2B,47000,4418000,930584,3487416
2025-04-05,Q1A,35000,3325000,1151117,2173883
2025-04-05,Q1B,35000,3325000,720777,2604223
2025-04-05,Q1C,23000,2185000,563182,1621818
2025-04-05,Q2A,47000,4465000,1363642,3101358
2025-04-05,Q2B,47000,4465000,934323,3530677
2025-04-06,Q1A,35000,3360000,1210669,2149331
2025-04-06,Q1B,35000,3360000,787807,2572193
2025-04-06,Q1C,23000,2208000,569372,1638628
2025-04-06,Q2A,47000,4512000,1456403,3055597
2025-04-06,Q2B,47000,4512000,1007951,3504049
2025-04-07,Q1A,35000,3395000,1210669,2184331
2025-04-07,Q1B,35000,3395000,787807,2607193
2025-04-07,Q1C,23000,2231000,569372,1661628
2025-04-07,Q2A,47000,4559000,1456403,3102597
2025-04-07,Q2B,47000,4559000,1007951,3551049
2025-04-08,Q1A,35000,3430000,1210669,2219331
2025-04-08,Q1B,35000,3430000,787807,2642193
2025-04-08,Q1C,23000,2254000,569372,1684628
2025-04-08,Q2A,47000,4606000,1456403,3149597
2025-04-08,Q2B,47000,4606000,1007951,3598049
2025-04-09,Q1A,35000,3465000,1210669,2254331
2025-04-09,Q1B,35000,3465000,787807,2677193
2025-04-09,Q1C,23000,2277000,569372,1707628
2025-04-09,Q2A,47000,4653000,1456403,3196597
2025-04-09,Q2B,47000,4653000,1007951,3645049
2025-04-10,Q1A,35000,3500000,1210669,2289331
2025-04-10,Q1B,35000,3500000,787807,2712193
2025-04-10,Q1C,23000,2300000,569372,1730628
2025-04-10,Q2A,47000,4700000,1456403,3243597
2025-04-10,Q2B,47000,4700000,1007951,3692049
2025-04-11,Q1A,35000,3535000,1210669,2324331
2025-04-11,Q1B,35000,3535000,787807,2747193
2025-04-11,Q1C,23000,2323000,592485,1730515
2025-04-11,Q2A,47000,4747000,1525374,3221626
2025-04-11,Q2B,47000,4747000,1007951,3739049
2025-04-12,Q1A,35000,3570000,1210669,2359331
2025-04-12,Q1B,35000,3570000,787807,2782193
2025-04-12,Q1C,23000,2346000,592485,1753515
2025-04-12,Q2A,47000,4794000,1525374,3268626
2025-04-12,Q2B,47000,4794000,1007951,3786049
2025-04-13,Q1A,35000,3605000,1303356,2301644
2025-04-13,Q1B,35000,3605000,844232,2760768
2025-04-13,Q1C,23000,2369000,609519,1759481
2025-04-13,Q2A,47000,4841000,1565628,3275372
2025-04-13,Q2B,47000,4841000,1074290,3766710
2025-04-14,Q1A,35000,3640000,1303356,2336644
2025-04-14,Q1B,35000,3640000,844232,2795768
2025-04-14,Q1C,23000,2392000,609519,1782481
2025-04-14,Q2A,47000,4888000,1565628,3322372
2025-04-14,Q2B,47000,4888000,1074290,3813710
2025-04-15,Q1A,35000,3675000,1303356,2371644
2025-04-15,Q1B,35000,3675000,844232,2830768
2025-04-15,Q1C,23000,2415000,609519,1805481
2025-04-15,Q2A,47000,4935000,1565628,3369372
2025-04-15,Q2B,47000,4935000,1074290,3860710
2025-04-16,Q1A,35000,3710000,1303356,2406644
2025-04-16,Q1B,35000,3710000,844232,2865768
2025-04-16,Q1C,23000,2438000,609519,1828481
2025-04-16,Q2A,47000,4982000,1565628,3416372
2025-04-16,Q2B,47000,4982000,1074290,3907710
2025-04-17,Q1A,35000,3745000,1303356,2441644
2025-04-17,Q1B,35000,3745000,844232,2900768
2025-04-17,Q1C,23000,2461000,609519,1851481
2025-04-17,Q2A,47000,5029000,1565628,3463372
2025-04-17,Q2B,47000,5029000,1074290,3954710
2025-04-18,Q1A,35000,3780000,1303356,2476644
2025-04-18,Q1B,35000,3780000,900646,2879354
2025-04-18,Q1C,23000,2484000,609519,1874481
2025-04-18,Q2A,47000,5076000,1638131,3437869
2025-04-18,Q2B,47000,5076000,1074290,4001710
2025-04-19,Q1A,35000,3815000,1352533,2462467
2025-04-19,Q1B,35000,3815000,900646,2914354
2025-04-19,Q1C,23000,2507000,650736,1856264
2025-04-19,Q2A,47000,5123000,1667064,3455936
2025-04-19,Q2B,47000,5123000,1111251,4011749
