Client,Ship,ArrivalDate,Deadline,Product,Quantity
Client_20,Ship_140,2025-03-05,2025-03-08,Product_7,20029
Client_13,Ship_133,2025-03-06,2025-03-09,Product_1,16868
Client_19,Ship_139,2025-03-06,2025-03-09,Product_6,8455
Client_4,Ship_144,2025-03-06,2025-03-09,Product_9,4168
Client_5,Ship_145,2025-03-06,2025-03-09,Product_10,59197
Client_1,Ship_161,2025-03-10,2025-03-14,Product_10,33983
Client_14,Ship_154,2025-03-10,2025-03-14,Product_5,15109
Client_15,Ship_155,2025-03-10,2025-03-14,Product_6,17631
Client_6,Ship_146,2025-03-10,2025-03-13,Product_1,25854
Client_7,Ship_147,2025-03-10,2025-03-16,Product_1,18224
Client_10,Ship_150,2025-03-11,2025-03-16,Product_3,2503
Client_13,Ship_153,2025-03-11,2025-03-15,Product_5,10534
Client_16,Ship_156,2025-03-11,2025-03-15,Product_7,21511
Client_19,Ship_159,2025-03-11,2025-03-16,Product_9,4249
Client_2,Ship_162,2025-03-11,2025-03-14,Product_10,26881
Client_11,Ship_151,2025-03-12,2025-03-15,Product_4,25527
Client_12,Ship_152,2025-03-12,2025-03-16,Product_4,25996
Client_18,Ship_158,2025-03-12,2025-03-15,Product_8,69289
Client_8,Ship_148,2025-03-12,2025-03-15,Product_2,27341
Client_17,Ship_157,2025-03-13,2025-03-16,Product_7,12813
Client_20,Ship_160,2025-03-13,2025-03-16,Product_9,6339
Client_9,Ship_149,2025-03-13,2025-03-16,Product_2,24928
Client_14,Ship_174,2025-03-17,2025-03-20,Product_9,10390
Client_15,Ship_175,2025-03-17,2025-03-23,Product_10,31104
Client_3,Ship_163,2025-03-17,2025-03-20,Product_1,23724
Client_7,Ship_167,2025-03-17,2025-03-23,Product_4,54964
Client_8,Ship_168,2025-03-17,2025-03-23,Product_5,13097
Client_9,Ship_169,2025-03-17,2025-03-23,Product_5,15276
Client_12,Ship_172,2025-03-18,2025-03-21,Product_7,32166
Client_4,Ship_164,2025-03-18,2025-03-23,Product_1,16813
Client_10,Ship_170,2025-03-19,2025-03-22,Product_6,9795
Client_11,Ship_171,2025-03-19,2025-03-22,Product_6,8773
Client_13,Ship_173,2025-03-19,2025-03-23,Product_8,76222
Client_6,Ship_166,2025-03-19,2025-03-23,Product_3,2363
Client_16,Ship_176,2025-03-20,2025-03-23,Product_10,33907
Client_5,Ship_165,2025-03-20,2025-03-23,Product_2,51898
Client_4,Ship_184,2025-03-24,2025-03-30,Product_5,15564
Client_7,Ship_187,2025-03-24,2025-03-30,Product_6,6479
Client_12,Ship_192,2025-03-25,2025-03-28,Product_9,7376
Client_2,Ship_182,2025-03-25,2025-03-29,Product_4,25282
Client_20,Ship_180,2025-03-25,2025-03-28,Product_2,22045
Client_5,Ship_185,2025-03-25,2025-03-30,Product_5,10266
Client_9,Ship_189,2025-03-25,2025-03-28,Product_8,35854
Client_10,Ship_190,2025-03-26,2025-03-30,Product_8,41535
Client_8,Ship_188,2025-03-26,2025-03-30,Product_7,34167
Client_1,Ship_181,2025-03-27,2025-03-30,Product_3,2347
Client_11,Ship_191,2025-03-27,2025-03-30,Product_9,4046
Client_13,Ship_193,2025-03-27,2025-03-30,Product_10,63873
Client_17,Ship_177,2025-03-27,2025-03-30,Product_1,18432
Client_18,Ship_178,2025-03-27,2025-03-30,Product_1,25496
Client_19,Ship_179,2025-03-27,2025-03-30,Product_2,30345
Client_3,Ship_183,2025-03-27,2025-03-30,Product_4,33676
Client_6,Ship_186,2025-03-27,2025-03-30,Product_6,10080
Client_15,Ship_195,2025-03-31,2025-04-05,Product_2,18424
Client_18,Ship_198,2025-03-31,2025-04-06,Product_4,64705
Client_3,Ship_203,2025-03-31,2025-04-05,Product_7,15834
Client_6,Ship_206,2025-03-31,2025-04-05,Product_9,3739
Client_8,Ship_208,2025-03-31,2025-04-06,Product_10,67427
Client_17,Ship_197,2025-04-01,2025-04-06,Product_3,2325
Client_19,Ship_199,2025-04-01,2025-04-05,Product_5,13408
Client_5,Ship_205,2025-04-01,2025-04-06,Product_8,71474
Client_2,Ship_202,2025-04-02,2025-04-05,Product_6,11388
Client_20,Ship_200,2025-04-02,2025-04-05,Product_5,13130
Client_4,Ship_204,2025-04-02,2025-04-06,Product_7,21287
Client_1,Ship_201,2025-04-03,2025-04-06,Product_6,6190
Client_14,Ship_194,2025-04-03,2025-04-06,Product_1,36113
Client_16,Ship_196,2025-04-03,2025-04-06,Product_2,23439
Client_7,Ship_207,2025-04-03,2025-04-06,Product_9,6201
Client_17,Ship_217,2025-04-07,2025-04-13,Product_7,22139
Client_18,Ship_218,2025-04-07,2025-04-11,Product_8,68971
Client_10,Ship_210,2025-04-08,2025-04-13,Product_2,52348
Client_14,Ship_214,2025-04-08,2025-04-11,Product_5,23113
Client_16,Ship_216,2025-04-08,2025-04-13,Product_7,18115
Client_20,Ship_220,2025-04-08,2025-04-13,Product_10,56003
Client_11,Ship_211,2025-04-09,2025-04-13,Product_3,2152
Client_12,Ship_212,2025-04-10,2025-04-13,Product_4,34070
Client_13,Ship_213,2025-04-10,2025-04-13,Product_4,20203
Client_15,Ship_215,2025-04-10,2025-04-13,Product_6,17034
Client_19,Ship_219,2025-04-10,2025-04-13,Product_9,10336
Client_9,Ship_209,2025-04-10,2025-04-13,Product_1,40339
Client_1,Ship_221,2025-04-14,2025-04-20,Product_1,37916
Client_12,Ship_232,2025-04-14,2025-04-18,Product_8,72503
Client_11,Ship_231,2025-04-15,2025-04-19,Product_7,14659
Client_2,Ship_222,2025-04-15,2025-04-19,Product_2,49177
Client_4,Ship_224,2025-04-15,2025-04-18,Product_4,28350
Client_5,Ship_225,2025-04-15,2025-04-18,Product_4,28064
Client_7,Ship_227,2025-04-15,2025-04-19,Product_5,11272
Client_9,Ship_229,2025-04-15,2025-04-19,Product_6,6984
Client_10,Ship_230,2025-04-16,2025-04-19,Product_7,14274
Client_16,Ship_236,2025-04-16,2025-04-19,Product_10,36961
Client_3,Ship_223,2025-04-16,2025-04-20,Product_3,2664
Client_6,Ship_226,2025-04-16,2025-04-19,Product_5,12980
Client_8,Ship_228,2025-04-16,2025-04-19,Product_6,9981
Client_13,Ship_233,2025-04-17,2025-04-20,Product_9,6205
Client_14,Ship_234,2025-04-17,2025-04-20,Product_9,4168
Client_15,Ship_235,2025-04-17,2025-04-20,Product_10,24066
Client_10,Ship_250,2025-04-21,2025-04-27,Product_10,37107
Client_18,Ship_238,2025-04-21,2025-04-27,Product_2,34686
Client_6,Ship_246,2025-04-21,2025-04-25,Product_7,14788
Client_8,Ship_248,2025-04-21,2025-04-25,Product_8,78868
Client_9,Ship_249,2025-04-21,2025-04-25,Product_9,10916
Client_1,Ship_241,2025-04-22,2025-04-25,Product_4,20067
Client_11,Ship_251,2025-04-22,2025-04-25,Product_10,26312
Client_17,Ship_237,2025-04-22,2025-04-27,Product_1,43594
Client_20,Ship_240,2025-04-22,2025-04-26,Product_3,2651
Client_3,Ship_243,2025-04-22,2025-04-25,Product_5,15316
Client_4,Ship_244,2025-04-22,2025-04-26,Product_5,11240
Client_2,Ship_242,2025-04-23,2025-04-26,Product_4,29334
Client_19,Ship_239,2025-04-24,2025-04-27,Product_2,18786
Client_5,Ship_245,2025-04-24,2025-04-27,Product_6,14907
Client_7,Ship_247,2025-04-24,2025-04-27,Product_7,23264
Client_1,Ship_261,2025-04-28,2025-05-01,Product_7,17175
Client_13,Ship_253,2025-04-28,2025-05-01,Product_1,28618
Client_17,Ship_257,2025-04-28,2025-05-01,Product_4,22301
Client_2,Ship_262,2025-04-28,2025-05-03,Product_8,76884
Client_15,Ship_255,2025-04-29,2025-05-04,Product_3,2603
Client_20,Ship_260,2025-04-29,2025-05-04,Product_7,17130
Client_4,Ship_264,2025-04-29,2025-05-03,Product_10,60622
Client_18,Ship_258,2025-04-30,2025-05-04,Product_5,22927
Client_12,Ship_252,2025-05-01,2025-05-04,Product_1,17135
Client_14,Ship_254,2025-05-01,2025-05-04,Product_2,50624
Client_16,Ship_256,2025-05-01,2025-05-04,Product_4,38825
Client_19,Ship_259,2025-05-01,2025-05-04,Product_6,18166
Client_3,Ship_263,2025-05-01,2025-05-04,Product_9,10298
Client_12,Ship_272,2025-05-05,2025-05-10,Product_5,11567
Client_7,Ship_267,2025-05-05,2025-05-09,Product_2,44315
Client_6,Ship_266,2025-05-06,2025-05-09,Product_1,15238
Client_13,Ship_273,2025-05-07,2025-05-11,Product_6,8757
Client_14,Ship_274,2025-05-07,2025-05-11,Product_6,8074
Client_15,Ship_275,2025-05-07,2025-05-11,Product_7,33220
Client_17,Ship_277,2025-05-07,2025-05-11,Product_9,9792
Client_8,Ship_268,2025-05-07,2025-05-10,Product_3,2268
Client_10,Ship_270,2025-05-08,2025-05-11,Product_4,30701
Client_11,Ship_271,2025-05-08,2025-05-11,Product_5,11705
Client_16,Ship_276,2025-05-08,2025-05-11,Product_8,65950
Client_18,Ship_278,2025-05-08,2025-05-11,Product_10,70962
Client_5,Ship_265,2025-05-08,2025-05-11,Product_1,23950
Client_9,Ship_269,2025-05-08,2025-05-11,Product_4,28677
Client_1,Ship_281,2025-05-12,2025-05-15,Product_2,22784
Client_11,Ship_291,2025-05-12,2025-05-17,Product_8,37951
Client_13,Ship_293,2025-05-13,2025-05-17,Product_9,4761
Client_19,Ship_279,2025-05-13,2025-05-17,Product_1,47094
Client_2,Ship_282,2025-05-13,2025-05-18,Product_3,2279
Client_5,Ship_285,2025-05-13,2025-05-16,Product_5,10678
Client_12,Ship_292,2025-05-14,2025-05-17,Product_9,5142
Client_20,Ship_280,2025-05-14,2025-05-18,Product_2,20962
Client_3,Ship_283,2025-05-14,2025-05-17,Product_4,52683
Client_6,Ship_286,2025-05-14,2025-05-18,Product_6,10642
Client_8,Ship_288,2025-05-14,2025-05-18,Product_7,14312
Client_10,Ship_290,2025-05-15,2025-05-18,Product_8,37845
Client_14,Ship_294,2025-05-15,2025-05-18,Product_10,71734
Client_4,Ship_284,2025-05-15,2025-05-18,Product_5,16174
Client_7,Ship_287,2025-05-15,2025-05-18,Product_6,7600
Client_9,Ship_289,2025-05-15,2025-05-18,Product_7,20622
Client_1,Ship_301,2025-05-19,2025-05-25,Product_6,7200
Client_18,Ship_298,2025-05-19,2025-05-24,Product_3,2051
Client_4,Ship_304,2025-05-19,2025-05-23,Product_7,17672
Client_7,Ship_307,2025-05-19,2025-05-25,Product_9,4008
Client_8,Ship_308,2025-05-19,2025-05-24,Product_10,64531
Client_15,Ship_295,2025-05-20,2025-05-23,Product_1,26566
Client_17,Ship_297,2025-05-20,2025-05-24,Product_2,47699
Client_20,Ship_300,2025-05-20,2025-05-24,Product_5,27092
Client_3,Ship_303,2025-05-20,2025-05-25,Product_7,20779
Client_19,Ship_299,2025-05-21,2025-05-24,Product_4,61508
Client_6,Ship_306,2025-05-21,2025-05-24,Product_9,6636
Client_16,Ship_296,2025-05-22,2025-05-25,Product_1,14568
Client_2,Ship_302,2025-05-22,2025-05-25,Product_6,12267
Client_5,Ship_305,2025-05-22,2025-05-25,Product_8,74864
Client_10,Ship_310,2025-05-26,2025-05-29,Product_1,16484
Client_11,Ship_311,2025-05-26,2025-06-01,Product_2,51680
Client_2,Ship_322,2025-05-26,2025-05-30,Product_9,4694
Client_20,Ship_320,2025-05-26,2025-05-31,Product_8,41074
Client_13,Ship_313,2025-05-27,2025-06-01,Product_4,51012
Client_14,Ship_314,2025-05-27,2025-05-31,Product_5,25815
Client_17,Ship_317,2025-05-27,2025-05-31,Product_7,13084
Client_18,Ship_318,2025-05-27,2025-05-30,Product_7,18049
Client_19,Ship_319,2025-05-27,2025-05-30,Product_8,24683
Client_4,Ship_324,2025-05-28,2025-05-31,Product_10,42424
Client_9,Ship_309,2025-05-28,2025-05-31,Product_1,22690
Client_1,Ship_321,2025-05-29,2025-06-01,Product_9,5419
Client_12,Ship_312,2025-05-29,2025-06-01,Product_3,2265
Client_15,Ship_315,2025-05-29,2025-06-01,Product_6,8411
Client_16,Ship_316,2025-05-29,2025-06-01,Product_6,9504
Client_3,Ship_323,2025-05-29,2025-06-01,Product_10,25378
Client_13,Ship_333,2025-06-02,2025-06-05,Product_7,16504
Client_14,Ship_334,2025-06-02,2025-06-05,Product_7,20413
Client_7,Ship_327,2025-06-02,2025-06-07,Product_2,49740
Client_12,Ship_332,2025-06-03,2025-06-08,Product_6,7419
Client_16,Ship_336,2025-06-03,2025-06-08,Product_9,9411
Client_6,Ship_326,2025-06-03,2025-06-08,Product_1,16938
Client_8,Ship_328,2025-06-03,2025-06-07,Product_4,25864
Client_17,Ship_337,2025-06-04,2025-06-08,Product_10,43124
Client_10,Ship_330,2025-06-05,2025-06-08,Product_5,25653
Client_11,Ship_331,2025-06-05,2025-06-08,Product_6,9146
Client_15,Ship_335,2025-06-05,2025-06-08,Product_8,66406
Client_18,Ship_338,2025-06-05,2025-06-08,Product_10,23683
Client_5,Ship_325,2025-06-05,2025-06-08,Product_1,21292
Client_9,Ship_329,2025-06-05,2025-06-08,Product_4,31363
Client_11,Ship_351,2025-06-09,2025-06-14,Product_10,70540
Client_6,Ship_346,2025-06-09,2025-06-13,Product_7,15532
Client_7,Ship_347,2025-06-09,2025-06-13,Product_7,17411
Client_3,Ship_343,2025-06-10,2025-06-15,Product_4,57274
Client_8,Ship_348,2025-06-10,2025-06-14,Product_8,33531
Client_9,Ship_349,2025-06-10,2025-06-15,Product_8,36943
Client_1,Ship_341,2025-06-11,2025-06-15,Product_2,43786
Client_10,Ship_350,2025-06-11,2025-06-15,Product_9,10167
Client_4,Ship_344,2025-06-11,2025-06-15,Product_5,25926
Client_19,Ship_339,2025-06-12,2025-06-15,Product_1,22822
Client_2,Ship_342,2025-06-12,2025-06-15,Product_3,2300
Client_20,Ship_340,2025-06-12,2025-06-15,Product_1,16016
Client_5,Ship_345,2025-06-12,2025-06-15,Product_6,18495
Client_15,Ship_355,2025-06-16,2025-06-19,Product_4,61668
Client_17,Ship_357,2025-06-16,2025-06-21,Product_5,12547
Client_18,Ship_358,2025-06-16,2025-06-21,Product_6,17821
Client_2,Ship_362,2025-06-16,2025-06-22,Product_8,29337
Client_19,Ship_359,2025-06-17,2025-06-22,Product_7,15405
Client_20,Ship_360,2025-06-17,2025-06-21,Product_7,21214
Client_5,Ship_365,2025-06-17,2025-06-21,Product_10,34426
Client_1,Ship_361,2025-06-18,2025-06-22,Product_8,34757
Client_12,Ship_352,2025-06-18,2025-06-22,Product_1,37138
Client_14,Ship_354,2025-06-18,2025-06-21,Product_3,2501
Client_16,Ship_356,2025-06-18,2025-06-22,Product_5,12484
Client_13,Ship_353,2025-06-19,2025-06-22,Product_2,40776
Client_3,Ship_363,2025-06-19,2025-06-22,Product_9,10680
Client_4,Ship_364,2025-06-19,2025-06-22,Product_10,24293
Client_12,Ship_372,2025-06-23,2025-06-29,Product_5,8568
Client_16,Ship_376,2025-06-23,2025-06-28,Product_7,11628
Client_18,Ship_378,2025-06-23,2025-06-27,Product_9,10086
Client_6,Ship_366,2025-06-23,2025-06-29,Product_1,40499
Client_10,Ship_370,2025-06-24,2025-06-29,Product_4,56164
Client_7,Ship_367,2025-06-24,2025-06-27,Product_2,27545
Client_9,Ship_369,2025-06-24,2025-06-28,Product_3,2160
Client_14,Ship_374,2025-06-25,2025-06-29,Product_6,8653
Client_15,Ship_375,2025-06-25,2025-06-28,Product_7,20535
Client_17,Ship_377,2025-06-25,2025-06-28,Product_8,73011
Client_8,Ship_368,2025-06-25,2025-06-29,Product_2,18974
Client_11,Ship_371,2025-06-26,2025-06-29,Product_5,13510
Client_13,Ship_373,2025-06-26,2025-06-29,Product_6,8749
Client_19,Ship_379,2025-06-26,2025-06-29,Product_10,65772
Client_3,Ship_383,2025-06-30,2025-07-05,Product_2,29573
Client_4,Ship_384,2025-06-30,2025-07-04,Product_3,2322
Client_5,Ship_385,2025-06-30,2025-07-06,Product_4,47703
Client_1,Ship_381,2025-07-01,2025-07-06,Product_1,23583
Client_20,Ship_380,2025-07-01,2025-07-05,Product_1,15566
Client_6,Ship_386,2025-07-01,2025-07-06,Product_5,23020
Client_8,Ship_388,2025-07-01,2025-07-05,Product_7,31414
Client_9,Ship_389,2025-07-01,2025-07-06,Product_8,67714
Client_11,Ship_391,2025-07-02,2025-07-05,Product_10,59669
Client_10,Ship_390,2025-07-03,2025-07-06,Product_9,9393
Client_2,Ship_382,2025-07-03,2025-07-06,Product_2,20335
Client_7,Ship_387,2025-07-03,2025-07-06,Product_6,18333
Client_1,Ship_401,2025-07-07,2025-07-11,Product_7,10836
Client_14,Ship_394,2025-07-07,2025-07-13,Product_2,42140
Client_17,Ship_397,2025-07-07,2025-07-13,Product_5,10533
Client_18,Ship_398,2025-07-07,2025-07-11,Product_5,10783
Client_20,Ship_400,2025-07-07,2025-07-10,Product_7,19065
Client_12,Ship_392,2025-07-08,2025-07-11,Product_1,18368
Client_13,Ship_393,2025-07-08,2025-07-12,Product_1,19017
Client_16,Ship_396,2025-07-08,2025-07-11,Product_4,55120
Client_2,Ship_402,2025-07-08,2025-07-11,Product_8,66824
Client_15,Ship_395,2025-07-09,2025-07-13,Product_3,2250
Client_4,Ship_404,2025-07-09,2025-07-12,Product_9,5115
Client_5,Ship_405,2025-07-09,2025-07-13,Product_10,62070
Client_19,Ship_399,2025-07-10,2025-07-13,Product_6,16892
Client_3,Ship_403,2025-07-10,2025-07-13,Product_9,4532
Client_1,Ship_421,2025-07-14,2025-07-19,Product_10,59936
Client_11,Ship_411,2025-07-14,2025-07-17,Product_4,28419
Client_15,Ship_415,2025-07-14,2025-07-17,Product_6,5314
Client_18,Ship_418,2025-07-14,2025-07-17,Product_8,36035
Client_7,Ship_407,2025-07-14,2025-07-20,Product_1,17646
Client_9,Ship_409,2025-07-14,2025-07-17,Product_3,2451
Client_19,Ship_419,2025-07-15,2025-07-20,Product_8,34292
Client_20,Ship_420,2025-07-16,2025-07-20,Product_9,9727
Client_6,Ship_406,2025-07-16,2025-07-20,Product_1,19752
Client_8,Ship_408,2025-07-16,2025-07-20,Product_2,45974
Client_10,Ship_410,2025-07-17,2025-07-20,Product_4,19101
Client_12,Ship_412,2025-07-17,2025-07-20,Product_5,15133
Client_13,Ship_413,2025-07-17,2025-07-20,Product_5,10482
Client_14,Ship_414,2025-07-17,2025-07-20,Product_6,9383
Client_16,Ship_416,2025-07-17,2025-07-20,Product_7,14194
Client_17,Ship_417,2025-07-17,2025-07-20,Product_7,12558
Client_16,Ship_436,2025-07-21,2025-07-27,Product_10,34305
