Date,Product,CumulativeProduction,CumulativeDemand,Balance
2025-02-04,Product_4,309909,248424,61485
2025-02-04,Product_5,132803,110532,22271
2025-02-04,Product_6,94192,75975,18217
2025-02-04,Product_7,183488,150679,32809
2025-02-04,Product_8,406089,341229,64860
2025-02-04,Product_9,55467,44418,11049
2025-02-05,Product_1,241493,188858,52635
2025-02-05,Product_10,384152,299061,85091
2025-02-05,Product_2,274353,212541,61812
2025-02-05,Product_3,13951,9183,4768
2025-02-05,Product_4,322469,248424,74045
2025-02-05,Product_5,137911,110532,27379
2025-02-05,Product_6,98002,75975,22027
2025-02-05,Product_7,189640,150679,38961
2025-02-05,Product_8,424882,341229,83653
2025-02-05,Product_9,57689,44418,13271
2025-02-06,Product_1,249642,188858,60784
2025-02-06,Product_10,398455,299061,99394
2025-02-06,Product_2,286449,212541,73908
2025-02-06,Product_3,14500,9183,5317
2025-02-06,Product_4,335000,248424,86576
2025-02-06,Product_5,144676,110532,34144
2025-02-06,Product_6,102341,75975,26366
2025-02-06,Product_7,195569,163201,32368
2025-02-06,Product_8,441436,341229,100207
2025-02-06,Product_9,60025,44418,15607
2025-02-07,Product_1,259022,188858,70164
2025-02-07,Product_10,411206,363245,47961
2025-02-07,Product_2,294000,258407,35593
2025-02-07,Product_3,15137,9183,5954
2025-02-07,Product_4,347312,248424,98888
2025-02-07,Product_5,150606,110532,40074
2025-02-07,Product_6,106065,75975,30090
2025-02-07,Product_7,204673,183227,21446
2025-02-07,Product_8,452766,341229,111537
2025-02-07,Product_9,62015,44418,17597
2025-02-08,Product_1,259484,188858,70626
2025-02-08,Product_10,411888,363245,48643
2025-02-08,Product_2,294434,258407,36027
2025-02-08,Product_3,15164,9183,5981
2025-02-08,Product_4,347937,248424,99513
2025-02-08,Product_5,150880,110532,40348
2025-02-08,Product_6,106269,75975,30294
2025-02-08,Product_7,204990,183227,21763
2025-02-08,Product_8,453686,378253,75433
2025-02-08,Product_9,62127,47955,14172
2025-02-09,Product_1,259953,231948,28005
2025-02-09,Product_10,412601,363245,49356
2025-02-09,Product_2,294854,258407,36447
2025-02-09,Product_3,15191,11977,3214
2025-02-09,Product_4,348724,305239,43485
2025-02-09,Product_5,151184,135319,15865
2025-02-09,Product_6,106493,93443,13050
2025-02-09,Product_7,205301,183227,22074
2025-02-09,Product_8,454418,408421,45997
2025-02-09,Product_9,62212,54465,7747
2025-02-10,Product_1,270242,231948,38294
2025-02-10,Product_10,426767,363245,63522
2025-02-10,Product_2,301882,258407,43475
2025-02-10,Product_3,15636,11977,3659
2025-02-10,Product_4,356892,305239,51653
2025-02-10,Product_5,155063,135319,19744
2025-02-10,Product_6,110118,93443,16675
2025-02-10,Product_7,212643,183227,29416
2025-02-10,Product_8,473748,408421,65327
2025-02-10,Product_9,64932,54465,10467
2025-02-11,Product_1,279658,231948,47710
2025-02-11,Product_10,436992,363245,73747
2025-02-11,Product_2,311607,258407,53200
2025-02-11,Product_3,16200,11977,4223
2025-02-11,Product_4,365668,305239,60429
2025-02-11,Product_5,160706,135319,25387
2025-02-11,Product_6,113715,93443,20272
2025-02-11,Product_7,219938,183227,36711
2025-02-11,Product_8,489510,408421,81089
2025-02-11,Product_9,66950,54465,12485
2025-02-12,Product_1,289709,231948,57761
2025-02-12,Product_10,450416,363245,87171
2025-02-12,Product_2,323665,258407,65258
2025-02-12,Product_3,16738,11977,4761
2025-02-12,Product_4,377202,305239,71963
2025-02-12,Product_5,168096,135319,32777
2025-02-12,Product_6,116973,93443,23530
2025-02-12,Product_7,226340,183227,43113
2025-02-12,Product_8,505994,408421,97573
2025-02-12,Product_9,69887,54465,15422
2025-02-13,Product_1,298934,231948,66986
2025-02-13,Product_10,464828,388511,76317
2025-02-13,Product_2,334054,258407,75647
2025-02-13,Product_3,17167,11977,5190
2025-02-13,Product_4,389802,305239,84563
2025-02-13,Product_5,173902,161549,12353
2025-02-13,Product_6,120312,93443,26869
2025-02-13,Product_7,233414,199772,33642
2025-02-13,Product_8,524837,408421,116416
2025-02-13,Product_9,72130,54465,17665
2025-02-14,Product_1,308474,231948,76526
2025-02-14,Product_10,478533,388511,90022
2025-02-14,Product_2,345242,258407,86835
2025-02-14,Product_3,17697,11977,5720
2025-02-14,Product_4,403692,305239,98453
2025-02-14,Product_5,179660,161549,18111
2025-02-14,Product_6,123199,93443,29756
2025-02-14,Product_7,242204,199772,42432
2025-02-14,Product_8,538709,446285,92424
2025-02-14,Product_9,74734,54465,20269
2025-02-15,Product_1,308975,254548,54427
2025-02-15,Product_10,479223,388511,90712
2025-02-15,Product_2,345875,258407,87468
2025-02-15,Product_3,17723,11977,5746
2025-02-15,Product_4,404367,353233,51134
2025-02-15,Product_5,179969,161549,18420
2025-02-15,Product_6,123420,93443,29977
2025-02-15,Product_7,242531,216293,26238
2025-02-15,Product_8,539392,487213,52179
2025-02-15,Product_9,74846,54465,20381
2025-02-16,Product_1,309333,275062,34271
2025-02-16,Product_10,479993,422809,57184
2025-02-16,Product_2,346528,305381,41147
2025-02-16,Product_3,17757,14253,3504
2025-02-16,Product_4,404961,353233,51728
2025-02-16,Product_5,180293,161549,18744
2025-02-16,Product_6,123673,108913,14760
2025-02-16,Product_7,242825,216293,26532
2025-02-16,Product_8,540172,487213,52959
2025-02-16,Product_9,74959,65447,9512
2025-02-17,Product_1,318068,275062,43006
2025-02-17,Product_10,492027,422809,69218
2025-02-17,Product_2,357317,305381,51936
2025-02-17,Product_3,18365,14253,4112
2025-02-17,Product_4,419522,353233,66289
2025-02-17,Product_5,184299,161549,22750
2025-02-17,Product_6,128518,108913,19605
2025-02-17,Product_7,251325,216293,35032
2025-02-17,Product_8,558253,487213,71040
2025-02-17,Product_9,77025,65447,11578
2025-02-18,Product_1,326605,275062,51543
2025-02-18,Product_10,502890,422809,80081
2025-02-18,Product_2,370447,305381,65066
2025-02-18,Product_3,18903,14253,4650
2025-02-18,Product_4,434120,353233,80887
2025-02-18,Product_5,188580,161549,27031
2025-02-18,Product_6,131539,108913,22626
2025-02-18,Product_7,259331,216293,43038
2025-02-18,Product_8,571141,487213,83928
2025-02-18,Product_9,79332,65447,13885
2025-02-19,Product_1,334918,275062,59856
2025-02-19,Product_10,516528,422809,93719
2025-02-19,Product_2,381524,305381,76143
2025-02-19,Product_3,19460,14253,5207
2025-02-19,Product_4,447127,353233,93894
2025-02-19,Product_5,194493,161549,32944
2025-02-19,Product_6,135974,108913,27061
2025-02-19,Product_7,266100,216293,49807
2025-02-19,Product_8,583228,487213,96015
2025-02-19,Product_9,81709,65447,16262
2025-02-20,Product_1,343742,275062,68680
2025-02-20,Product_10,532583,422809,109774
2025-02-20,Product_2,391088,305381,85707
2025-02-20,Product_3,20001,14253,5748
2025-02-20,Product_4,461628,353233,108395
2025-02-20,Product_5,199615,161549,38066
2025-02-20,Product_6,140833,108913,31920
2025-02-20,Product_7,271798,216293,55505
2025-02-20,Product_8,601359,525910,75449
2025-02-20,Product_9,83713,65447,18266
2025-02-21,Product_1,355022,275062,79960
2025-02-21,Product_10,550652,422809,127843
2025-02-21,Product_2,401061,305381,95680
2025-02-21,Product_3,20523,14253,6270
2025-02-21,Product_4,474831,416391,58440
2025-02-21,Product_5,206489,184784,21705
2025-02-21,Product_6,144567,108913,35654
2025-02-21,Product_7,278441,216293,62148
2025-02-21,Product_8,616052,553034,63018
2025-02-21,Product_9,85944,75421,10523
2025-02-22,Product_1,355423,317460,37963
2025-02-22,Product_10,551458,486591,64867
2025-02-22,Product_2,401487,305381,96106
2025-02-22,Product_3,20546,14253,6293
2025-02-22,Product_4,475412,416391,59021
2025-02-22,Product_5,206763,184784,21979
2025-02-22,Product_6,144771,117082,27689
2025-02-22,Product_7,278812,216293,62519
2025-02-22,Product_8,616813,553034,63779
2025-02-22,Product_9,86047,75421,10626
2025-02-23,Product_1,355952,317460,38492
2025-02-23,Product_10,552021,486591,65430
2025-02-23,Product_2,401962,352884,49078
2025-02-23,Product_3,20572,16692,3880
2025-02-23,Product_4,476114,416391,59723
2025-02-23,Product_5,206967,184784,22183
2025-02-23,Product_6,144911,127037,17874
2025-02-23,Product_7,279252,249429,29823
2025-02-23,Product_8,617397,553034,64363
2025-02-23,Product_9,86200,75421,10779
2025-02-24,Product_1,362860,317460,45400
2025-02-24,Product_10,565979,486591,79388
2025-02-24,Product_2,412354,352884,59470
2025-02-24,Product_3,21052,16692,4360
2025-02-24,Product_4,489047,416391,72656
2025-02-24,Product_5,211632,184784,26848
2025-02-24,Product_6,149092,127037,22055
2025-02-24,Product_7,285587,249429,36158
2025-02-24,Product_8,631949,553034,78915
2025-02-24,Product_9,88450,75421,13029
2025-02-25,Product_1,371645,317460,54185
2025-02-25,Product_10,581012,486591,94421
2025-02-25,Product_2,424671,352884,71787
2025-02-25,Product_3,21491,16692,4799
2025-02-25,Product_4,501783,416391,85392
2025-02-25,Product_5,215020,184784,30236
2025-02-25,Product_6,152474,127037,25437
2025-02-25,Product_7,293000,249429,43571
2025-02-25,Product_8,648148,553034,95114
2025-02-25,Product_9,91261,75421,15840
2025-02-26,Product_1,381129,317460,63669
2025-02-26,Product_10,595887,486591,109296
2025-02-26,Product_2,438513,352884,85629
2025-02-26,Product_3,22074,16692,5382
2025-02-26,Product_4,517344,416391,100953
2025-02-26,Product_5,220589,184784,35805
2025-02-26,Product_6,156623,127037,29586
2025-02-26,Product_7,301276,249429,51847
2025-02-26,Product_8,666646,553034,113612
2025-02-26,Product_9,93478,75421,18057
2025-02-27,Product_1,391211,317460,73751
2025-02-27,Product_10,611562,486591,124971
2025-02-27,Product_2,447242,352884,94358
2025-02-27,Product_3,22647,16692,5955
2025-02-27,Product_4,525411,416391,109020
2025-02-27,Product_5,226202,184784,41418
2025-02-27,Product_6,159710,127037,32673
2025-02-27,Product_7,306111,249429,56682
2025-02-27,Product_8,681013,553034,127979
2025-02-27,Product_9,95854,75421,20433
2025-02-28,Product_1,401475,317460,84015
2025-02-28,Product_10,624080,552024,72056
2025-02-28,Product_2,458913,404451,54462
2025-02-28,Product_3,23044,16692,6352
2025-02-28,Product_4,535464,416391,119073
2025-02-28,Product_5,231616,193730,37886
2025-02-28,Product_6,164074,127037,37037
2025-02-28,Product_7,314807,249429,65378
2025-02-28,Product_8,701316,628112,73204
2025-02-28,Product_9,97689,75421,22268
2025-03-01,Product_1,401994,359743,42251
2025-03-01,Product_10,624813,552024,72789
2025-03-01,Product_2,459378,404451,54927
2025-03-01,Product_3,23071,16692,6379
2025-03-01,Product_4,535989,416391,119598
2025-03-01,Product_5,231952,193730,38222
2025-03-01,Product_6,164307,127037,37270
2025-03-01,Product_7,315117,249429,65688
2025-03-01,Product_8,702046,628112,73934
2025-03-01,Product_9,97796,75421,22375
2025-03-02,Product_1,402434,359743,42691
2025-03-02,Product_10,625586,552024,73562
2025-03-02,Product_2,459969,404451,55518
2025-03-02,Product_3,23102,18949,4153
2025-03-02,Product_4,536594,469571,67023
2025-03-02,Product_5,232294,206545,25749
2025-03-02,Product_6,164485,145028,19457
2025-03-02,Product_7,315513,282045,33468
2025-03-02,Product_8,702777,628112,74665
2025-03-02,Product_9,97914,85613,12301
2025-03-03,Product_1,411087,359743,51344
2025-03-03,Product_10,641938,552024,89914
2025-03-03,Product_2,470800,404451,66349
2025-03-03,Product_3,23732,18949,4783
2025-03-03,Product_4,548905,469571,79334
2025-03-03,Product_5,237942,206545,31397
2025-03-03,Product_6,167840,145028,22812
2025-03-03,Product_7,323339,282045,41294
2025-03-03,Product_8,722837,628112,94725
2025-03-03,Product_9,100754,85613,15141
2025-03-04,Product_1,421589,359743,61846
2025-03-04,Product_10,654740,552024,102716
2025-03-04,Product_2,478820,404451,74369
2025-03-04,Product_3,24359,18949,5410
2025-03-04,Product_4,558818,469571,89247
2025-03-04,Product_5,241885,206545,35340
2025-03-04,Product_6,170579,145028,25551
2025-03-04,Product_7,332120,282045,50075
2025-03-04,Product_8,739668,628112,111556
2025-03-04,Product_9,103126,85613,17513
2025-03-05,Product_1,430634,359743,70891
2025-03-05,Product_10,668558,552024,116534
2025-03-05,Product_2,491426,404451,86975
2025-03-05,Product_3,24906,18949,5957
2025-03-05,Product_4,569743,469571,100172
2025-03-05,Product_5,248227,206545,41682
2025-03-05,Product_6,174468,145028,29440
2025-03-05,Product_7,340303,282045,58258
2025-03-05,Product_8,754642,628112,126530
2025-03-05,Product_9,105901,85613,20288
2025-03-06,Product_1,438170,359743,78427
2025-03-06,Product_10,677227,552024,125203
2025-03-06,Product_2,501495,404451,97044
2025-03-06,Product_3,25382,18949,6433
2025-03-06,Product_4,580915,469571,111344
2025-03-06,Product_5,254520,206545,47975
2025-03-06,Product_6,178169,145028,33141
2025-03-06,Product_7,345170,282045,63125
2025-03-06,Product_8,770600,628112,142488
2025-03-06,Product_9,108421,85613,22808
2025-03-07,Product_1,445910,359743,86167
2025-03-07,Product_10,690460,552024,138436
2025-03-07,Product_2,511689,404451,107238
2025-03-07,Product_3,25838,18949,6889
2025-03-07,Product_4,598484,469571,128913
2025-03-07,Product_5,260603,206545,54058
2025-03-07,Product_6,181282,145028,36254
2025-03-07,Product_7,351848,282045,69803
2025-03-07,Product_8,790268,628112,162156
2025-03-07,Product_9,111284,85613,25671
2025-03-08,Product_1,446312,359743,86569
2025-03-08,Product_10,691133,552024,139109
2025-03-08,Product_2,512154,449369,62785
2025-03-08,Product_3,25867,21332,4535
2025-03-08,Product_4,599300,526787,72513
2025-03-08,Product_5,260937,206545,54392
