Client,Ship,ArrivalDate,Deadline,Product,Quantity,WindowDays,Factory,Axis,Berth,ShipSubClass,ShipDeadWeight,EffectiveLoadRate,LoadingDaysNeeded,FitsBerth,ShipCanCarry,CanLoadInTime,Feasible
Client_5,Ship_25,2025-01-07,2025-01-12,Product_8,72562,5,Factory_4,Axis_4,Q2A,Type_4_small,77000,47000,2,True,True,True,True
Client_7,Ship_27,2025-01-07,2025-01-12,Product_10,62955,5,Factory_5,Axis_5,Q2B,Type_3_large,69000,35000,2,True,True,True,True
Client_1,Ship_21,2025-01-08,2025-01-12,Product_6,8611,4,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_16,Ship_16,2025-01-08,2025-01-11,Product_2,45309,3,Factory_1,Axis_1,Q1A,Type_3_small,53000,35000,2,True,True,True,True
Client_10,Ship_30,2025-01-13,2025-01-19,Product_2,42858,6,Factory_1,Axis_1,Q1A,Type_2_large,45000,23000,2,True,True,True,True
Client_12,Ship_32,2025-01-13,2025-01-16,Product_4,28423,3,Factory_2,Axis_2,Q1B,Type_2_small,29000,23000,2,True,True,True,True
Client_9,Ship_29,2025-01-13,2025-01-16,Product_1,16337,3,Factory_1,Axis_1,Q1A,Type_1_large,21000,11000,2,True,True,True,True
Client_14,Ship_34,2025-01-14,2025-01-19,Product_5,16793,5,Factory_3,Axis_3,Q1C,Type_1_large,21000,11000,2,True,True,True,True
Client_15,Ship_35,2025-01-14,2025-01-18,Product_5,10546,4,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_19,Ship_39,2025-01-14,2025-01-18,Product_9,6202,4,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_2,Ship_42,2025-01-14,2025-01-19,Product_10,32403,5,Factory_5,Axis_5,Q2B,Type_2_medium,37000,23000,2,True,True,True,True
Client_8,Ship_28,2025-01-14,2025-01-17,Product_1,25401,3,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,2,True,True,True,True
Client_1,Ship_41,2025-01-15,2025-01-18,Product_10,40969,3,Factory_5,Axis_5,Q2B,Type_2_large,45000,23000,2,True,True,True,True
Client_11,Ship_31,2025-01-15,2025-01-19,Product_3,2162,4,Factory_2,Axis_2,Q1B,Type_1_small,5000,11000,1,True,True,True,True
Client_17,Ship_37,2025-01-15,2025-01-19,Product_7,34925,4,Factory_4,Axis_4,Q2A,Type_2_medium,37000,23000,2,True,True,True,True
Client_13,Ship_33,2025-01-16,2025-01-19,Product_4,28542,3,Factory_2,Axis_2,Q1B,Type_2_small,29000,23000,2,True,True,True,True
Client_16,Ship_36,2025-01-16,2025-01-19,Product_6,14421,3,Factory_3,Axis_3,Q1C,Type_1_large,21000,11000,2,True,True,True,True
Client_18,Ship_38,2025-01-16,2025-01-19,Product_8,66886,3,Factory_4,Axis_4,Q2A,Type_3_large,69000,35000,2,True,True,True,True
Client_20,Ship_40,2025-01-16,2025-01-19,Product_9,4176,3,Factory_5,Axis_5,Q2B,Type_1_small,5000,11000,1,True,True,True,True
Client_10,Ship_50,2025-01-20,2025-01-26,Product_5,15741,6,Factory_3,Axis_3,Q1C,Type_1_large,21000,11000,2,True,True,True,True
Client_15,Ship_55,2025-01-20,2025-01-26,Product_8,31167,6,Factory_4,Axis_4,Q2A,Type_2_medium,37000,23000,2,True,True,True,True
Client_3,Ship_43,2025-01-20,2025-01-25,Product_1,19379,5,Factory_1,Axis_1,Q1A,Type_1_large,21000,11000,2,True,True,True,True
Client_11,Ship_51,2025-01-21,2025-01-25,Product_5,9104,4,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_4,Ship_44,2025-01-21,2025-01-26,Product_1,22868,5,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,1,True,True,True,True
Client_7,Ship_47,2025-01-21,2025-01-26,Product_3,2464,5,Factory_2,Axis_2,Q1B,Type_1_small,5000,11000,1,True,True,True,True
Client_9,Ship_49,2025-01-21,2025-01-24,Product_4,22832,3,Factory_2,Axis_2,Q1B,Type_2_small,29000,23000,1,True,True,True,True
Client_12,Ship_52,2025-01-22,2025-01-25,Product_6,17296,3,Factory_3,Axis_3,Q1C,Type_1_large,21000,11000,2,True,True,True,True
Client_13,Ship_53,2025-01-22,2025-01-25,Product_7,31314,3,Factory_4,Axis_4,Q2A,Type_2_medium,37000,23000,2,True,True,True,True
Client_14,Ship_54,2025-01-22,2025-01-25,Product_8,42628,3,Factory_4,Axis_4,Q2A,Type_2_large,45000,23000,2,True,True,True,True
Client_16,Ship_56,2025-01-22,2025-01-25,Product_9,6102,3,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_18,Ship_58,2025-01-22,2025-01-25,Product_10,40418,3,Factory_5,Axis_5,Q2B,Type_2_large,45000,23000,2,True,True,True,True
Client_19,Ship_59,2025-01-22,2025-01-25,Product_10,24337,3,Factory_5,Axis_5,Q2B,Type_2_small,29000,23000,2,True,True,True,True
Client_5,Ship_45,2025-01-22,2025-01-26,Product_2,20032,4,Factory_1,Axis_1,Q1A,Type_1_large,21000,11000,2,True,True,True,True
Client_6,Ship_46,2025-01-22,2025-01-26,Product_2,26017,4,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,2,True,True,True,True
Client_17,Ship_57,2025-01-23,2025-01-26,Product_9,4921,3,Factory_5,Axis_5,Q2B,Type_1_small,5000,11000,1,True,True,True,True
Client_8,Ship_48,2025-01-23,2025-01-26,Product_4,30168,3,Factory_2,Axis_2,Q1B,Type_2_medium,37000,23000,2,True,True,True,True
Client_11,Ship_71,2025-01-27,2025-02-02,Product_9,8114,6,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_20,Ship_60,2025-01-27,2025-02-01,Product_1,26862,5,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,2,True,True,True,True
Client_5,Ship_65,2025-01-27,2025-01-30,Product_5,12497,3,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,2,True,True,True,True
Client_6,Ship_66,2025-01-27,2025-02-02,Product_5,10570,6,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_10,Ship_70,2025-01-28,2025-02-02,Product_8,79369,5,Factory_4,Axis_4,Q2A,Type_4_medium,85000,47000,2,True,True,True,True
Client_2,Ship_62,2025-01-28,2025-01-31,Product_2,46795,3,Factory_1,Axis_1,Q1A,Type_3_small,53000,35000,2,True,True,True,True
Client_3,Ship_63,2025-01-28,2025-01-31,Product_3,2319,3,Factory_2,Axis_2,Q1B,Type_1_small,5000,11000,1,True,True,True,True
Client_8,Ship_68,2025-01-28,2025-02-02,Product_7,13491,5,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
Client_13,Ship_73,2025-01-29,2025-02-02,Product_10,30270,4,Factory_5,Axis_5,Q2B,Type_2_medium,37000,23000,2,True,True,True,True
Client_1,Ship_61,2025-01-30,2025-02-02,Product_1,15219,3,Factory_1,Axis_1,Q1A,Type_1_large,21000,11000,2,True,True,True,True
Client_12,Ship_72,2025-01-30,2025-02-02,Product_10,31684,3,Factory_5,Axis_5,Q2B,Type_2_medium,37000,23000,2,True,True,True,True
Client_4,Ship_64,2025-01-30,2025-02-02,Product_4,48709,3,Factory_2,Axis_2,Q1B,Type_3_small,53000,35000,2,True,True,True,True
Client_7,Ship_67,2025-01-30,2025-02-02,Product_6,18075,3,Factory_3,Axis_3,Q1C,Type_1_large,21000,11000,2,True,True,True,True
Client_9,Ship_69,2025-01-30,2025-02-02,Product_7,19154,3,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
Client_1,Ship_81,2025-02-03,2025-02-06,Product_7,12522,3,Factory_4,Axis_4,Q2A,Type_1_medium,13000,11000,2,True,True,True,True
Client_15,Ship_75,2025-02-03,2025-02-09,Product_1,17266,6,Factory_1,Axis_1,Q1A,Type_1_large,21000,11000,2,True,True,True,True
Client_19,Ship_79,2025-02-03,2025-02-09,Product_5,24787,6,Factory_3,Axis_3,Q1C,Type_2_small,29000,23000,2,True,True,True,True
Client_14,Ship_74,2025-02-04,2025-02-09,Product_1,25824,5,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,2,True,True,True,True
Client_16,Ship_76,2025-02-04,2025-02-07,Product_2,45866,3,Factory_1,Axis_1,Q1A,Type_3_small,53000,35000,2,True,True,True,True
Client_2,Ship_82,2025-02-04,2025-02-07,Product_7,20026,3,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
Client_4,Ship_84,2025-02-04,2025-02-09,Product_8,30168,5,Factory_4,Axis_4,Q2A,Type_2_medium,37000,23000,2,True,True,True,True
Client_5,Ship_85,2025-02-04,2025-02-08,Product_9,3537,4,Factory_5,Axis_5,Q2B,Type_1_small,5000,11000,1,True,True,True,True
Client_7,Ship_87,2025-02-04,2025-02-07,Product_10,64184,3,Factory_5,Axis_5,Q2B,Type_3_large,69000,35000,2,True,True,True,True
Client_3,Ship_83,2025-02-05,2025-02-08,Product_8,37024,3,Factory_4,Axis_4,Q2A,Type_2_large,45000,23000,2,True,True,True,True
Client_17,Ship_77,2025-02-06,2025-02-09,Product_3,2794,3,Factory_2,Axis_2,Q1B,Type_1_small,5000,11000,1,True,True,True,True
Client_18,Ship_78,2025-02-06,2025-02-09,Product_4,56815,3,Factory_2,Axis_2,Q1B,Type_3_medium,61000,35000,2,True,True,True,True
Client_20,Ship_80,2025-02-06,2025-02-09,Product_6,17468,3,Factory_3,Axis_3,Q1C,Type_1_large,21000,11000,2,True,True,True,True
Client_6,Ship_86,2025-02-06,2025-02-09,Product_9,6510,3,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_12,Ship_92,2025-02-10,2025-02-15,Product_4,28936,5,Factory_2,Axis_2,Q1B,Type_2_small,29000,23000,2,True,True,True,True
Client_14,Ship_94,2025-02-10,2025-02-13,Product_5,26230,3,Factory_3,Axis_3,Q1C,Type_2_small,29000,23000,2,True,True,True,True
Client_18,Ship_98,2025-02-10,2025-02-13,Product_7,16545,3,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
Client_2,Ship_102,2025-02-10,2025-02-16,Product_9,5590,6,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_20,Ship_100,2025-02-10,2025-02-15,Product_8,40928,5,Factory_4,Axis_4,Q2A,Type_2_large,45000,23000,2,True,True,True,True
Client_4,Ship_104,2025-02-10,2025-02-13,Product_10,25266,3,Factory_5,Axis_5,Q2B,Type_2_small,29000,23000,2,True,True,True,True
Client_1,Ship_101,2025-02-11,2025-02-16,Product_9,5392,5,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_16,Ship_96,2025-02-11,2025-02-16,Product_6,7550,5,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_19,Ship_99,2025-02-11,2025-02-14,Product_8,37864,3,Factory_4,Axis_4,Q2A,Type_2_large,45000,23000,2,True,True,True,True
Client_8,Ship_88,2025-02-11,2025-02-15,Product_1,22600,4,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,1,True,True,True,True
Client_10,Ship_90,2025-02-12,2025-02-16,Product_2,46974,4,Factory_1,Axis_1,Q1A,Type_3_small,53000,35000,2,True,True,True,True
Client_13,Ship_93,2025-02-12,2025-02-15,Product_4,19058,3,Factory_2,Axis_2,Q1B,Type_1_large,21000,11000,2,True,True,True,True
Client_17,Ship_97,2025-02-12,2025-02-15,Product_7,16521,3,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
Client_11,Ship_91,2025-02-13,2025-02-16,Product_3,2276,3,Factory_2,Axis_2,Q1B,Type_1_small,5000,11000,1,True,True,True,True
Client_15,Ship_95,2025-02-13,2025-02-16,Product_6,7920,3,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_3,Ship_103,2025-02-13,2025-02-16,Product_10,34298,3,Factory_5,Axis_5,Q2B,Type_2_medium,37000,23000,2,True,True,True,True
Client_9,Ship_89,2025-02-13,2025-02-16,Product_1,20514,3,Factory_1,Axis_1,Q1A,Type_1_large,21000,11000,2,True,True,True,True
Client_15,Ship_115,2025-02-17,2025-02-20,Product_8,38697,3,Factory_4,Axis_4,Q2A,Type_2_large,45000,23000,2,True,True,True,True
Client_16,Ship_116,2025-02-17,2025-02-21,Product_9,9974,4,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_8,Ship_108,2025-02-17,2025-02-21,Product_4,63158,4,Factory_2,Axis_2,Q1B,Type_3_large,69000,35000,2,True,True,True,True
Client_14,Ship_114,2025-02-18,2025-02-21,Product_8,27124,3,Factory_4,Axis_4,Q2A,Type_2_small,29000,23000,2,True,True,True,True
Client_5,Ship_105,2025-02-18,2025-02-22,Product_1,42398,4,Factory_1,Axis_1,Q1A,Type_2_large,45000,23000,2,True,True,True,True
Client_7,Ship_107,2025-02-18,2025-02-23,Product_3,2439,5,Factory_2,Axis_2,Q1B,Type_1_small,5000,11000,1,True,True,True,True
Client_9,Ship_109,2025-02-18,2025-02-21,Product_5,23235,3,Factory_3,Axis_3,Q1C,Type_2_small,29000,23000,2,True,True,True,True
Client_10,Ship_110,2025-02-19,2025-02-22,Product_6,8169,3,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_11,Ship_111,2025-02-19,2025-02-23,Product_6,9955,4,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_17,Ship_117,2025-02-19,2025-02-22,Product_10,63782,3,Factory_5,Axis_5,Q2B,Type_3_large,69000,35000,2,True,True,True,True
Client_12,Ship_112,2025-02-20,2025-02-23,Product_7,16436,3,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
Client_13,Ship_113,2025-02-20,2025-02-23,Product_7,16700,3,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
Client_6,Ship_106,2025-02-20,2025-02-23,Product_2,47503,3,Factory_1,Axis_1,Q1A,Type_3_small,53000,35000,2,True,True,True,True
Client_10,Ship_130,2025-02-24,2025-02-28,Product_10,38552,4,Factory_5,Axis_5,Q2B,Type_2_large,45000,23000,2,True,True,True,True
Client_11,Ship_131,2025-02-24,2025-02-28,Product_10,26881,4,Factory_5,Axis_5,Q2B,Type_2_small,29000,23000,2,True,True,True,True
Client_19,Ship_119,2025-02-24,2025-02-28,Product_2,51567,4,Factory_1,Axis_1,Q1A,Type_3_small,53000,35000,2,True,True,True,True
Client_3,Ship_123,2025-02-24,2025-02-28,Product_5,8946,4,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_8,Ship_128,2025-02-24,2025-02-28,Product_8,75078,4,Factory_4,Axis_4,Q2A,Type_4_small,77000,47000,2,True,True,True,True
Client_1,Ship_121,2025-02-25,2025-03-02,Product_4,21465,5,Factory_2,Axis_2,Q1B,Type_2_small,29000,23000,1,True,True,True,True
Client_7,Ship_127,2025-02-25,2025-03-02,Product_7,32616,5,Factory_4,Axis_4,Q2A,Type_2_medium,37000,23000,2,True,True,True,True
Client_9,Ship_129,2025-02-25,2025-03-02,Product_9,10192,5,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_18,Ship_118,2025-02-26,2025-03-01,Product_1,42283,3,Factory_1,Axis_1,Q1A,Type_2_large,45000,23000,2,True,True,True,True
Client_20,Ship_120,2025-02-26,2025-03-02,Product_3,2257,4,Factory_2,Axis_2,Q1B,Type_1_small,5000,11000,1,True,True,True,True
Client_5,Ship_125,2025-02-26,2025-03-02,Product_6,7589,4,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_6,Ship_126,2025-02-26,2025-03-02,Product_6,10402,4,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_2,Ship_122,2025-02-27,2025-03-02,Product_4,31715,3,Factory_2,Axis_2,Q1B,Type_2_medium,37000,23000,2,True,True,True,True
Client_4,Ship_124,2025-02-27,2025-03-02,Product_5,12815,3,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,2,True,True,True,True
Client_1,Ship_141,2025-03-03,2025-03-08,Product_7,13856,5,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
Client_14,Ship_134,2025-03-03,2025-03-08,Product_2,44918,5,Factory_1,Axis_1,Q1A,Type_2_large,45000,23000,2,True,True,True,True
Client_15,Ship_135,2025-03-03,2025-03-08,Product_3,2383,5,Factory_2,Axis_2,Q1B,Type_1_small,5000,11000,1,True,True,True,True
Client_12,Ship_132,2025-03-04,2025-03-09,Product_1,21613,5,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,1,True,True,True,True
Client_16,Ship_136,2025-03-04,2025-03-08,Product_4,57216,4,Factory_2,Axis_2,Q1B,Type_3_medium,61000,35000,2,True,True,True,True
Client_17,Ship_137,2025-03-04,2025-03-09,Product_5,26355,5,Factory_3,Axis_3,Q1C,Type_2_small,29000,23000,2,True,True,True,True
Client_18,Ship_138,2025-03-04,2025-03-09,Product_6,6269,5,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_3,Ship_143,2025-03-04,2025-03-08,Product_9,7434,4,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_2,Ship_142,2025-03-05,2025-03-08,Product_8,80209,3,Factory_4,Axis_4,Q2A,Type_4_medium,85000,47000,2,True,True,True,True
Client_20,Ship_140,2025-03-05,2025-03-08,Product_7,20029,3,Factory_4,Axis_4,Q2A,Type_1_large,21000,11000,2,True,True,True,True
Client_13,Ship_133,2025-03-06,2025-03-09,Product_1,16868,3,Factory_1,Axis_1,Q1A,Type_1_large,21000,11000,2,True,True,True,True
Client_19,Ship_139,2025-03-06,2025-03-09,Product_6,8455,3,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_4,Ship_144,2025-03-06,2025-03-09,Product_9,4168,3,Factory_5,Axis_5,Q2B,Type_1_small,5000,11000,1,True,True,True,True
Client_5,Ship_145,2025-03-06,2025-03-09,Product_10,59197,3,Factory_5,Axis_5,Q2B,Type_3_medium,61000,35000,2,True,True,True,True
Client_1,Ship_161,2025-03-10,2025-03-14,Product_10,33983,4,Factory_5,Axis_5,Q2B,Type_2_medium,37000,23000,2,True,True,True,True
Client_14,Ship_154,2025-03-10,2025-03-14,Product_5,15109,4,Factory_3,Axis_3,Q1C,Type_1_large,21000,11000,2,True,True,True,True
Client_15,Ship_155,2025-03-10,2025-03-14,Product_6,17631,4,Factory_3,Axis_3,Q1C,Type_1_large,21000,11000,2,True,True,True,True
Client_6,Ship_146,2025-03-10,2025-03-13,Product_1,25854,3,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,2,True,True,True,True
Client_7,Ship_147,2025-03-10,2025-03-16,Product_1,18224,6,Factory_1,Axis_1,Q1A,Type_1_large,21000,11000,2,True,True,True,True
Client_10,Ship_150,2025-03-11,2025-03-16,Product_3,2503,5,Factory_2,Axis_2,Q1B,Type_1_small,5000,11000,1,True,True,True,True
Client_13,Ship_153,2025-03-11,2025-03-15,Product_5,10534,4,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_16,Ship_156,2025-03-11,2025-03-15,Product_7,21511,4,Factory_4,Axis_4,Q2A,Type_2_small,29000,23000,1,True,True,True,True
Client_19,Ship_159,2025-03-11,2025-03-16,Product_9,4249,5,Factory_5,Axis_5,Q2B,Type_1_small,5000,11000,1,True,True,True,True
Client_2,Ship_162,2025-03-11,2025-03-14,Product_10,26881,3,Factory_5,Axis_5,Q2B,Type_2_small,29000,23000,2,True,True,True,True
Client_11,Ship_151,2025-03-12,2025-03-15,Product_4,25527,3,Factory_2,Axis_2,Q1B,Type_2_small,29000,23000,2,True,True,True,True
Client_12,Ship_152,2025-03-12,2025-03-16,Product_4,25996,4,Factory_2,Axis_2,Q1B,Type_2_small,29000,23000,2,True,True,True,True
Client_18,Ship_158,2025-03-12,2025-03-15,Product_8,69289,3,Factory_4,Axis_4,Q2A,Type_4_small,77000,47000,2,True,True,True,True
Client_8,Ship_148,2025-03-12,2025-03-15,Product_2,27341,3,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,2,True,True,True,True
Client_17,Ship_157,2025-03-13,2025-03-16,Product_7,12813,3,Factory_4,Axis_4,Q2A,Type_1_medium,13000,11000,2,True,True,True,True
Client_20,Ship_160,2025-03-13,2025-03-16,Product_9,6339,3,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_9,Ship_149,2025-03-13,2025-03-16,Product_2,24928,3,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,2,True,True,True,True
Client_14,Ship_174,2025-03-17,2025-03-20,Product_9,10390,3,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_15,Ship_175,2025-03-17,2025-03-23,Product_10,31104,6,Factory_5,Axis_5,Q2B,Type_2_medium,37000,23000,2,True,True,True,True
Client_3,Ship_163,2025-03-17,2025-03-20,Product_1,23724,3,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,2,True,True,True,True
Client_7,Ship_167,2025-03-17,2025-03-23,Product_4,54964,6,Factory_2,Axis_2,Q1B,Type_3_medium,61000,35000,2,True,True,True,True
Client_8,Ship_168,2025-03-17,2025-03-23,Product_5,13097,6,Factory_3,Axis_3,Q1C,Type_1_large,21000,11000,2,True,True,True,True
Client_9,Ship_169,2025-03-17,2025-03-23,Product_5,15276,6,Factory_3,Axis_3,Q1C,Type_1_large,21000,11000,2,True,True,True,True
Client_12,Ship_172,2025-03-18,2025-03-21,Product_7,32166,3,Factory_4,Axis_4,Q2A,Type_2_medium,37000,23000,2,True,True,True,True
Client_4,Ship_164,2025-03-18,2025-03-23,Product_1,16813,5,Factory_1,Axis_1,Q1A,Type_1_large,21000,11000,2,True,True,True,True
Client_10,Ship_170,2025-03-19,2025-03-22,Product_6,9795,3,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_11,Ship_171,2025-03-19,2025-03-22,Product_6,8773,3,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_13,Ship_173,2025-03-19,2025-03-23,Product_8,76222,4,Factory_4,Axis_4,Q2A,Type_4_small,77000,47000,2,True,True,True,True
Client_6,Ship_166,2025-03-19,2025-03-23,Product_3,2363,4,Factory_2,Axis_2,Q1B,Type_1_small,5000,11000,1,True,True,True,True
Client_16,Ship_176,2025-03-20,2025-03-23,Product_10,33907,3,Factory_5,Axis_5,Q2B,Type_2_medium,37000,23000,2,True,True,True,True
Client_5,Ship_165,2025-03-20,2025-03-23,Product_2,51898,3,Factory_1,Axis_1,Q1A,Type_3_small,53000,35000,2,True,True,True,True
Client_4,Ship_184,2025-03-24,2025-03-30,Product_5,15564,6,Factory_3,Axis_3,Q1C,Type_1_large,21000,11000,2,True,True,True,True
Client_7,Ship_187,2025-03-24,2025-03-30,Product_6,6479,6,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
Client_12,Ship_192,2025-03-25,2025-03-28,Product_9,7376,3,Factory_5,Axis_5,Q2B,Type_1_medium,13000,11000,1,True,True,True,True
Client_2,Ship_182,2025-03-25,2025-03-29,Product_4,25282,4,Factory_2,Axis_2,Q1B,Type_2_small,29000,23000,2,True,True,True,True
Client_20,Ship_180,2025-03-25,2025-03-28,Product_2,22045,3,Factory_1,Axis_1,Q1A,Type_2_small,29000,23000,1,True,True,True,True
Client_5,Ship_185,2025-03-25,2025-03-30,Product_5,10266,5,Factory_3,Axis_3,Q1C,Type_1_medium,13000,11000,1,True,True,True,True
